City name,Url
Breisgau-Hochschwarzwald,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Breisgau-Hochschwarzwald
Emmendingen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Emmendingen
Ortenaukreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Ortenaukreis
Rottweil,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Rottweil
Schwarzwald-Baar-Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Schwarzwald-Baar-Kreis
Tuttlingen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Tuttlingen
Konstanz,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Konstanz
Lörrach,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Lörrach
Waldshut,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Waldshut
Reutlingen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Reutlingen
Tübingen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Tübingen
Zollernalbkreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Zollernalbkreis
Ulm,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Ulm
Alb-Donau-Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Alb-Donau-Kreis
Biberach,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Biberach
Bodenseekreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Bodenseekreis
Ravensburg,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Ravensburg
Sigmaringen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Sigmaringen
Ingolstadt,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Ingolstadt
München,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_München
Rosenheim,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Rosenheim
Altötting,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Altötting
Berchtesgadener Land,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Berchtesgadener_Land
Bad Tölz-Wolfratshausen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Bad_Tölz-Wolfratshausen
Dachau,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Dachau
Ebersberg,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Ebersberg
Eichstätt,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Eichstätt
Erding,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Erding
Freising,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Freising
